Gender,Marital_Status,Dependents,Employment_Type,Education_Level,Annual_Income,Monthly_Expenses,Business_Income,Job_Stability_Years,Existing_EMI,Loan_Type,Loan_Amount,Property_Value,Document_Status,Bank_Balance,Savings_Balance,Eligibility_Status
male,single,0,private,postgraduate,453010,3935,449391,13,168939,home,819103,3675849,verified,54363,39744,Fully Eligible
female,married,3,private,graduate,1712601,30745,179353,1,265152,home,1848733,8920194,verified,156170,183975,Fully Eligible
male,married,2,self-employed,postgraduate,1883231,20399,499441,6,36397,business,1866831,6850196,verified,370432,64816,Fully Eligible
male,single,1,private,graduate,1529780,13063,200086,3,22908,personal,1043578,3058117,verified,324907,209695,Fully Eligible
male,married,0,self-employed,graduate,1379744,13908,343928,13,278337,car,538828,3116005,verified,316183,127157,Fully Eligible
female,married,0,government,graduate,2118891,28738,257767,7,47669,car,171894,579489,verified,442949,152418,Fully Eligible
male,married,2,private,non-graduate,558076,10874,428781,3,139121,personal,1700731,12031818,verified,66532,72120,Fully Eligible
male,single,2,private,graduate,867578,10159,320529,10,271363,education,1561751,6150837,verified,124405,110537,Fully Eligible
male,married,3,private,graduate,1739609,40231,111058,4,274422,home,635579,2217173,verified,358328,98123,Fully Eligible
female,single,0,government,graduate,616893,8106,166231,9,296848,home,1112484,3861199,verified,97172,45978,Fully Eligible
male,single,3,self-employed,postgraduate,1184364,16407,125251,7,4847,car,1444401,5701545,verified,191193,121595,Fully Eligible
male,single,0,government,graduate,1144670,13697,152821,4,296527,car,1561213,8681638,verified,273014,171506,Fully Eligible
male,married,0,private,postgraduate,1207535,15170,238651,2,37064,education,1889911,13969437,verified,291645,150185,Fully Eligible
male,married,1,self-employed,graduate,565612,5412,130541,5,123078,education,1832516,9036764,verified,114391,20355,Fully Eligible
female,married,2,private,graduate,291628,3862,366209,8,149576,car,922479,5072149,unverified,61799,34513,Fully Eligible
male,married,0,private,graduate,1053307,23868,209757,2,123830,education,1211004,8129466,verified,108380,93617,Fully Eligible
female,single,3,government,postgraduate,248316,4918,400432,9,182959,personal,861624,3593133,verified,41906,7994,Fully Eligible
female,single,2,private,postgraduate,2440510,55939,158373,5,190682,home,808005,2746718,verified,355301,205834,Fully Eligible
female,single,3,government,graduate,263539,2656,100254,6,49558,car,1653916,7720703,verified,15340,18259,Partially Eligible
male,single,2,private,non-graduate,1277811,20351,449191,7,224024,personal,1613088,6603116,verified,289688,54339,Fully Eligible
female,single,2,self-employed,graduate,1981067,24078,439548,13,164956,personal,219975,1502571,verified,216218,186197,Fully Eligible
male,single,0,private,postgraduate,653106,13293,394063,9,115791,business,1721990,12724988,verified,154363,93395,Fully Eligible
female,single,1,private,graduate,475773,11658,152958,7,150035,car,952918,5661842,verified,84354,64211,Fully Eligible
female,single,0,private,graduate,566914,12428,384308,4,18514,business,1589638,9170309,verified,120531,55137,Fully Eligible
female,single,2,private,postgraduate,2225038,19850,135743,5,127385,personal,1550846,9415350,verified,315407,121926,Fully Eligible
female,single,0,private,postgraduate,390000,5308,303648,12,10683,car,1751878,8476162,verified,34118,17065,Fully Eligible
female,married,0,self-employed,graduate,1090199,9604,266297,3,54018,business,503038,2839132,verified,245233,122162,Fully Eligible
female,married,2,private,graduate,631474,5685,126769,1,85862,home,1470106,4199071,verified,130415,48644,Fully Eligible
female,married,2,private,graduate,2284829,22068,182335,3,179214,car,1726080,8573861,unverified,459042,211639,Fully Eligible
female,single,0,private,postgraduate,2441067,31584,324482,13,12497,business,1714411,7135092,verified,225940,300979,Fully Eligible
male,single,0,private,graduate,1346147,18042,247932,1,45190,education,1338262,3701501,verified,207750,137728,Fully Eligible
male,married,0,self-employed,postgraduate,486132,7295,190524,5,78417,car,537654,2808640,verified,55674,19059,Fully Eligible
female,single,3,government,graduate,560363,8451,336251,7,118342,education,502090,2159630,verified,96693,83115,Fully Eligible
female,single,0,private,graduate,2002458,42432,177105,9,201207,car,357404,1948948,verified,313355,94660,Fully Eligible
female,single,3,private,graduate,2388759,25535,423672,4,143836,business,379855,1924307,verified,204182,352606,Fully Eligible
male,single,1,self-employed,graduate,490859,5380,271497,10,177533,business,1618811,6282764,verified,85775,44630,Fully Eligible
female,single,3,private,graduate,1953152,36673,458817,14,209339,car,965760,5021872,verified,112570,255205,Fully Eligible
male,single,0,private,graduate,237109,4235,54450,10,223915,personal,370629,1628495,verified,15209,10640,Fully Eligible
male,married,1,private,postgraduate,1155354,12593,407517,1,256122,business,1583609,11252461,verified,100002,154075,Fully Eligible
male,single,3,private,graduate,377736,8513,344861,7,64800,car,1611677,7056190,verified,62613,17198,Fully Eligible
male,single,3,private,postgraduate,1100804,15210,403224,3,1985,car,1917732,5179313,unverified,222249,150600,Fully Eligible
male,married,2,private,graduate,947196,13686,267434,1,294097,home,1667467,10534829,verified,195590,78729,Fully Eligible
female,single,1,self-employed,non-graduate,849373,13030,293618,4,124990,education,1208411,8843655,verified,89462,113280,Fully Eligible
female,single,2,private,non-graduate,1267945,17385,66167,14,126845,home,313904,1050611,verified,160827,79987,Fully Eligible
female,married,1,private,non-graduate,434970,7666,320855,11,60824,education,1468044,10810553,verified,42083,50015,Fully Eligible
female,single,3,private,postgraduate,1760393,26072,290495,9,30674,education,518980,2899006,verified,100807,216323,Fully Eligible
female,single,2,private,graduate,1765720,22349,167098,6,4340,home,435553,2934289,verified,263112,158887,Fully Eligible
male,single,0,private,postgraduate,421009,9854,105405,6,270297,personal,471681,2294481,unverified,66945,56325,Fully Eligible
female,single,3,government,non-graduate,1624606,21887,450786,7,62394,car,1748403,9813100,verified,385058,181871,Fully Eligible
female,married,1,private,graduate,1138143,22734,367881,1,149367,business,1354045,9079263,verified,218950,77105,Fully Eligible
male,married,1,self-employed,graduate,1575025,22240,204991,5,118778,car,1583663,11741277,verified,373061,222935,Fully Eligible
female,single,2,private,graduate,1004938,15663,297711,4,119931,home,265562,909280,unverified,106423,71139,Fully Eligible
male,married,2,self-employed,graduate,1982238,24313,349789,4,34358,personal,467747,3271297,verified,386381,233346,Fully Eligible
female,married,1,private,graduate,2228846,46520,394365,7,226211,business,1955646,11413853,verified,378142,252120,Fully Eligible
male,single,3,private,graduate,982722,20263,281531,2,29326,business,132665,959739,verified,107469,45052,Fully Eligible
female,married,2,self-employed,graduate,544535,4739,429529,5,259893,personal,1212822,4961089,verified,50222,44304,Fully Eligible
female,single,0,private,non-graduate,2166388,20226,389218,7,116028,business,400328,1486405,verified,234420,214281,Fully Eligible
male,single,1,self-employed,graduate,2390198,56662,242007,3,256196,business,143514,621073,verified,587838,125133,Fully Eligible
male,single,0,private,postgraduate,1715035,39698,391410,14,34384,personal,830699,5750510,verified,93713,71909,Fully Eligible
male,single,1,government,graduate,1460706,24493,19,2,126060,home,1075233,5159143,verified,337374,139566,Fully Eligible
male,single,0,self-employed,graduate,891175,14754,421492,12,159514,home,1121447,8138765,verified,182100,43124,Fully Eligible
male,married,3,government,graduate,750785,16422,190822,1,81104,business,1932013,7171053,verified,119163,93524,Fully Eligible
male,single,1,private,graduate,890145,9471,238000,5,176242,home,706103,2543884,verified,197299,118073,Fully Eligible
male,single,3,private,graduate,868726,16704,328679,12,209859,home,859402,5063620,unverified,52465,35835,Fully Eligible
male,single,2,self-employed,graduate,237649,3865,248418,12,252797,business,1628871,6447587,verified,37749,27178,Partially Eligible
female,married,1,government,graduate,2455152,50876,461286,5,125433,business,1990920,6262984,verified,262909,289382,Fully Eligible
female,married,3,government,postgraduate,286117,2527,356218,4,39702,home,360760,1580017,verified,14866,10857,Fully Eligible
male,married,0,private,graduate,2269254,41327,135497,8,73521,education,139229,533362,verified,394417,230461,Fully Eligible
female,married,3,self-employed,graduate,1792707,31573,345754,2,187595,personal,1092825,4988644,verified,325469,187534,Fully Eligible
female,married,1,private,postgraduate,2237050,49992,236850,13,188247,home,1395686,4790768,verified,376171,204556,Fully Eligible
female,single,3,private,graduate,932531,18290,334008,12,126929,home,1373247,10003986,verified,119456,105176,Fully Eligible
female,married,0,private,graduate,659348,15166,205134,4,221850,education,833044,5421654,verified,139026,39319,Fully Eligible
male,married,0,private,graduate,1477599,34163,199161,5,252168,car,1565942,10498868,verified,175290,90661,Fully Eligible
female,married,0,government,graduate,512366,7755,84430,9,40224,car,657229,2621657,unverified,87507,72171,Fully Eligible
male,married,2,private,graduate,1604577,17046,366500,3,283205,personal,632838,4293042,verified,399879,178903,Fully Eligible
female,single,1,self-employed,graduate,957914,18045,433122,13,8882,business,1584441,8641413,verified,209945,74371,Fully Eligible
female,single,0,private,graduate,286245,6553,403458,1,149159,home,600521,1671644,unverified,51196,31658,Fully Eligible
female,single,2,private,postgraduate,2103915,20160,371356,14,6787,education,361126,1179548,verified,388874,252024,Fully Eligible
male,married,0,private,graduate,2297309,40506,276419,4,242828,business,1622231,7672849,verified,501273,152230,Fully Eligible
female,single,3,private,graduate,2116576,21694,59566,10,2337,business,756302,3379856,verified,180251,195490,Fully Eligible
male,single,1,private,non-graduate,520410,4570,247631,6,177844,car,661585,4284684,verified,37491,22775,Fully Eligible
female,married,3,self-employed,postgraduate,2169398,42651,468500,7,54830,home,919628,6316324,verified,204311,221596,Fully Eligible
male,single,2,government,graduate,1894263,37312,39911,4,19335,personal,505059,3446852,verified,376784,213205,Fully Eligible
